English name,Score,Genres,Type,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score,Premiered Season,Premiered Year
Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",TV,Bandai Visual,Sunrise,41.0,43,78525,914193.0,1771505,89.94531099353043,spring,1998
Trigun,8.22,"Action, Adventure, Sci-Fi",TV,Victor Entertainment,Madhouse,328.0,246,15035,356739.0,727252,80.28127572846694,spring,1998
Witch Hunter Robin,7.25,"Action, Drama, Mystery, Supernatural",TV,"Bandai Visual, Dentsu, Victor Entertainment, TV Tokyo Music",Sunrise,2764.0,1795,613,42829.0,111931,58.658212716431876,summer,2002
Beet the Vandel Buster,6.94,"Adventure, Fantasy, Supernatural",TV,"TV Tokyo, Dentsu",Toei Animation,4240.0,5126,14,6413.0,15001,39.95102004000056,fall,2004
Honey and Clover,8.0,"Comedy, Drama, Romance",TV,"Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha",J.C.Staff,589.0,862,4136,81747.0,260166,65.83123612000594,spring,2005
Monster,8.87,"Drama, Mystery, Suspense",TV,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,26.0,142,47235,368569.0,1013100,81.32834137001696,spring,2004
Naruto,7.99,"Action, Adventure, Fantasy",TV,"TV Tokyo, Aniplex, Shueisha",Pierrot,599.0,8,76343,1883772.0,2717330,96.03277461924819,fall,2002
One Piece,8.69,"Action, Adventure, Fantasy",TV,"Fuji TV, TAP, Shueisha",Toei Animation,55.0,20,198986,1226493.0,2168904,92.7090784548575,fall,1999
The Prince of Tennis,7.86,Sports,TV,"Production I.G, Nihon Ad Systems",Trans Arts,805.0,1246,3004,81992.0,178273,65.69003582480258,fall,2001
School Rumble,7.89,"Comedy, Romance",TV,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,756.0,687,5139,146597.0,320203,71.32245419559509,fall,2004
Desert Punk,7.38,"Action, Adventure, Comedy, Sci-Fi, Ecchi",TV,"GDH, Pony Canyon, CBC Television",Gonzo,2167.0,1546,822,53709.0,134894,61.009280484440566,fall,2004
Texhnolyze,7.76,"Action, Drama, Sci-Fi",TV,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,990.0,935,4786,54857.0,239423,61.696464885685,spring,2003
Yakitate!! Japan,7.91,"Comedy, Gourmet",TV,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,704.0,1992,897,40492.0,95380,58.956893132289004,fall,2004
Neon Genesis Evangelion,8.35,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",TV,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",204.0,45,100638,1024927.0,1718019,90.59575697164652,fall,1995
Berserk,8.56,"Action, Adventure, Drama, Fantasy, Horror",TV,"VAP, Hakusensha, Nippon Television Network",OLM,96.0,325,25404,325204.0,608800,79.78029946884034,fall,1997
Rurouni Kenshin,8.29,"Action, Adventure, Comedy, Romance",TV,"Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",249.0,432,9907,230278.0,477389,76.14766488249401,winter,1996
.hack//Sign,6.95,"Adventure, Fantasy, Mystery",TV,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,4172.0,1243,1343,83009.0,178659,64.62381256510852,spring,2002
Ah! My Goddess,7.32,"Comedy, Romance, Supernatural",TV,"Bandai Visual, TBS, Imagine",AIC,2407.0,1392,1115,76377.0,155745,64.32143886682816,winter,2005
Battle Doll Angelic Layer,7.26,"Award Winning, Comedy, Drama, Sci-Fi, Sports",TV,"Dentsu, TV Tokyo Music",Bones,2727.0,2707,291,28552.0,57259,54.766594669100364,spring,2001
Ai Yori Aoshi,7.11,"Comedy, Drama, Romance",TV,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,3471.0,1839,447,52942.0,108460,60.51183726361526,spring,2002
Beck: Mongolian Chop Squad,8.29,"Comedy, Drama, Slice of Life",TV,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Madhouse,252.0,669,8149,136432.0,327015,71.10667039279203,fall,2004
Blue Gender,7.03,"Adventure, Drama, Horror, Romance, Sci-Fi",TV,"Youmex, Toshiba EMI",AIC,3873.0,2256,415,29649.0,78193,54.81963996154504,fall,1999
Chobits,7.4,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,"TBS, Pioneer LDC",Madhouse,2080.0,441,3824,249019.0,469408,75.80745133618578,spring,2002
Chrono Crusade,7.62,"Action, Romance, Supernatural",TV,"Lantis, Kadokawa Shoten, Fuji TV",Gonzo,1322.0,1010,1939,102723.0,221814,67.56217054622303,fall,2003
D.N.Angel,7.17,"Action, Comedy, Fantasy, Romance",TV,Kadokawa Shoten,Xebec,3180.0,1211,1257,98061.0,182259,66.52869483470913,spring,2003
D.C.~Da Capo~,6.72,"Drama, Romance",TV,"Lantis, King Records","feel., Zexcs",5215.0,2320,194,30349.0,74844,54.61005674788654,summer,2003
DearS,6.56,"Comedy, Romance, Sci-Fi, Ecchi",TV,"Bandai Visual, Hal Film Maker, Genco, Lantis",Daume,6027.0,1460,346,78611.0,145533,63.54342495453753,summer,2004
Rozen Maiden,7.41,"Action, Comedy, Drama",TV,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack",Nomad,2053.0,1120,1936,95684.0,199570,66.60945441183554,fall,2004
Rozen Maiden: Träumend,7.62,"Action, Comedy, Drama",TV,"Mellow Head, TBS",Nomad,1340.0,1898,450,57969.0,102972,62.05251527768966,fall,2005
Azumanga Daioh: The Animation,7.99,"Comedy, Slice of Life",TV,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,603.0,668,6327,146773.0,327945,71.45529669451255,spring,2002
Basilisk,7.55,"Action, Drama, Romance",TV,"GDH, Kodansha, Sotsu Music Publishing",Gonzo,1539.0,1213,1371,76398.0,182074,64.62201544937149,spring,2005
Black Cat,7.33,"Action, Adventure, Sci-Fi",TV,"GDH, Dentsu, TBS, Sotsu Music Publishing",Gonzo,2389.0,846,1779,127273.0,264622,69.252232491467,fall,2005
Full Metal Panic!,7.61,"Action, Comedy, Sci-Fi",TV,"Kadokawa Shoten, KlockWorx",Gonzo,1356.0,422,4326,236646.0,482069,75.58614454331459,winter,2002
Full Metal Panic? Fumoffu,8.03,"Action, Comedy",TV,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",Kyoto Animation,548.0,769,2907,171852.0,289064,73.02250536073032,summer,2003
Full Metal Panic! The Second Raid,7.93,Action,TV,"WOWOW, Kadokawa Shoten, KlockWorx, Happinet Pictures",Kyoto Animation,682.0,878,1268,145898.0,255279,71.32512484848081,summer,2005
Gakuen Alice,7.64,"Comedy, Fantasy",TV,"Aniplex, Sogo Vision",Group TAC,1276.0,1975,1397,50323.0,97186,60.71561622672958,fall,2004
