Gender,Birthday,Location,Days Watched,Completed,Total Entries,Episodes Watched,Country,Weighted_Y
Male,1985-03-04 00:00:00+00:00,California,142.3,233.0,399.0,8458.0,USA,2400.5738635810076
Male,1988-01-25 00:00:00+00:00,BergenNorway,73.1,94.0,138.0,4374.0,Norway,1187.9369210376997
Male,1990-02-09 00:00:00+00:00,CalgaryAB,70.6,148.0,211.0,4117.0,CAN,1198.3685774232804
Male,1989-06-10 00:00:00+00:00,ParisFrance,47.0,153.0,316.0,2922.0,France,968.8674683954431
Male,1983-06-09 00:00:00+00:00,LondonEngland,72.6,125.0,128.0,4329.0,England,1189.3528753072212
Male,1986-11-08 00:00:00+00:00,LulearingSweden,138.5,260.0,378.0,8358.0,Sweden,2378.9558465469263
Male,1986-07-31 00:00:00+00:00,OntarioCanada,152.8,188.0,227.0,9153.0,Canada,2446.3717460955136
Male,1982-12-22 00:00:00+00:00,LockedupinShuukabasementworkingoncardsp,247.2,1478.0,2229.0,14967.0,Shuukabasementworkingoncardsp,5703.44720554789
Male,1984-04-08 00:00:00+00:00,TampereFinland,78.0,167.0,261.0,4737.0,Finland,1385.317394338073
Male,1987-09-12 00:00:00+00:00,FinlandPori,85.0,194.0,252.0,5053.0,FIN,1473.0792602773897
Male,1985-08-10 00:00:00+00:00,YorbaLindaCalifornia,9.4,3.0,11.0,577.0,USA,147.18305973375524
Male,1983-09-16 00:00:00+00:00,PandanJaya,8.5,18.0,39.0,547.0,Jaya,163.8901750902907
Male,1990-12-10 00:00:00+00:00,Newyork,61.4,269.0,451.0,3736.0,Newyork,1307.6287033015215
Male,1984-02-18 00:00:00+00:00,JohorMalaysia,41.8,115.0,133.0,2463.0,Malaysia,735.5842394300107
Male,1988-09-28 00:00:00+00:00,Michigan,48.2,172.0,288.0,2980.0,USA,978.2765857196233
Male,1990-04-29 00:00:00+00:00,HelsinkiFinland,167.3,470.0,478.0,10017.0,Finland,2956.371228301573
Male,1985-04-04 00:00:00+00:00,WilmingtonNorthCarolina,13.9,35.0,71.0,801.0,Carolina,253.48152806211436
Male,1988-10-17 00:00:00+00:00,Belgium,21.2,30.0,62.0,1293.0,Belgium,364.02146429763684
Male,1985-02-03 00:00:00+00:00,InterlakenBernSwitzerland,161.6,347.0,508.0,40113.0,Switzerland,9895.059354959445
Male,1982-07-10 00:00:00+00:00,PrincetonNJ,77.4,309.0,369.0,4457.0,USA,1461.2808412738154
Male,1988-01-03 00:00:00+00:00,BeachwoodOhio,46.2,62.0,111.0,2731.0,USA,757.7563904377982
Male,1978-12-08 00:00:00+00:00,MiamiBeach,70.9,167.0,281.0,4162.0,Beach,1258.8669098216508
Male,1992-06-15 00:00:00+00:00,Norway,180.7,567.0,662.0,11283.0,Norway,3416.0803602202927
Male,1986-05-28 00:00:00+00:00,AustinTexas,130.5,162.0,196.0,7833.0,USA,2095.0255463096437
Female,1990-05-28 00:00:00+00:00,US,52.9,91.0,159.0,3142.0,USA,900.3403116406328
Male,1987-04-17 00:00:00+00:00,Sweden,36.1,121.0,178.0,2077.0,Sweden,671.2043483235097
Male,1981-07-09 00:00:00+00:00,CarlislePennsylvania,102.1,217.0,218.0,6012.0,USA,1699.6901810664622
Female,1983-08-11 00:00:00+00:00,HarrisburgPA,238.5,754.0,916.0,14108.0,USA,4353.291391740197
Male,1990-06-25 00:00:00+00:00,Latvia,61.1,150.0,198.0,3610.0,Latvia,1069.1451831947381
Female,1981-08-07 00:00:00+00:00,StockholmSweden,63.6,138.0,188.0,3669.0,Sweden,1071.8134059265426
Female,1990-10-28 00:00:00+00:00,CaiforniawiththePikas,492.6,1816.0,2027.0,29778.0,Pikas,9363.096009740764
Male,1979-08-03 00:00:00+00:00,SouthamptonUnitedKingdom,78.7,136.0,280.0,4680.0,Kingdom,1365.3190744028298
Female,1991-06-16 00:00:00+00:00,QueensNewYork,112.5,380.0,561.0,6566.0,GBR,2118.5791559045015
Male,1990-09-06 00:00:00+00:00,EnglandUK,32.9,48.0,163.0,1945.0,GBR,588.644676211065
Male,1987-06-04 00:00:00+00:00,Intheshadowsofmankind,87.2,209.0,990.0,5241.0,Intheshadowsofmankind,1937.8293065373337
Male,1989-12-15 00:00:00+00:00,PortlandOregon,33.4,78.0,82.0,1924.0,USA,556.0578045230386
Male,1988-12-30 00:00:00+00:00,California,116.5,355.0,436.0,6960.0,USA,2128.4298484960636
Male,1987-05-14 00:00:00+00:00,LaMiradaCalifornia,78.6,128.0,177.0,4628.0,USA,1291.205251559357
Male,1987-03-09 00:00:00+00:00,LasVegasNevada,108.2,294.0,381.0,6343.0,USA,1914.8764490467897
Male,1984-03-16 00:00:00+00:00,BakersfieldCalifornia,58.3,71.0,82.0,3164.0,USA,854.1086278108322
Male,1991-02-01 00:00:00+00:00,LondonUK,168.2,269.0,1086.0,10074.0,GBR,3193.9972823380285
Male,1987-03-11 00:00:00+00:00,AtlantaGA,298.3,1332.0,1429.0,17744.0,USA,5848.024670011809
Male,1988-01-25 00:00:00+00:00,BergenNorway,54.8,131.0,217.0,3182.0,Norway,965.8859565642665
Female,1988-01-31 00:00:00+00:00,Hungary,216.5,704.0,979.0,13416.0,Hungary,4186.741656646414
Male,1985-12-17 00:00:00+00:00,TorontoOntarioCanada,197.8,667.0,694.0,11716.0,Canada,3601.2362358632618
