English name,Score,Genres,Type,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score
Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",TV,Bandai Visual,Sunrise,41.0,43,78525,914193.0,1771505,90.35835668939735
Cowboy Bebop: The Movie,8.38,"Action, Sci-Fi",Movie,"Sunrise, Bandai Visual",Bones,189.0,602,1448,206248.0,360978,76.20951278606294
Trigun,8.22,"Action, Adventure, Sci-Fi",TV,Victor Entertainment,Madhouse,328.0,246,15035,356739.0,727252,81.09131910057945
Witch Hunter Robin,7.25,"Action, Drama, Mystery, Supernatural",TV,"Bandai Visual, Dentsu, Victor Entertainment, TV Tokyo Music",Sunrise,2764.0,1795,613,42829.0,111931,60.35652952025705
Beet the Vandel Buster,6.94,"Adventure, Fantasy, Supernatural",TV,"TV Tokyo, Dentsu",Toei Animation,4240.0,5126,14,6413.0,15001,42.41782659142323
Honey and Clover,8.0,"Comedy, Drama, Romance",TV,"Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha",J.C.Staff,589.0,862,4136,81747.0,260166,67.2348857848184
Monster,8.87,"Drama, Mystery, Suspense",TV,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,26.0,142,47235,368569.0,1013100,82.09537138226781
Naruto,7.99,"Action, Adventure, Fantasy",TV,"TV Tokyo, Aniplex, Shueisha",Pierrot,599.0,8,76343,1883772.0,2717330,96.19574787152872
One Piece,8.69,"Action, Adventure, Fantasy",TV,"Fuji TV, TAP, Shueisha",Toei Animation,55.0,20,198986,1226493.0,2168904,93.00858883863833
The Prince of Tennis,7.86,Sports,TV,"Production I.G, Nihon Ad Systems",Trans Arts,805.0,1246,3004,81992.0,178273,67.0994859847026
School Rumble,7.89,"Comedy, Romance",TV,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,756.0,687,5139,146597.0,320203,72.50052512895904
Desert Punk,7.38,"Action, Adventure, Comedy, Sci-Fi, Ecchi",TV,"GDH, Pony Canyon, CBC Television",Gonzo,2167.0,1546,822,53709.0,134894,62.61101564146964
Texhnolyze,7.76,"Action, Drama, Sci-Fi",TV,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,990.0,935,4786,54857.0,239423,63.26997057097027
Yakitate!! Japan,7.91,"Comedy, Gourmet",TV,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,704.0,1992,897,40492.0,95380,60.64294017221296
Neon Genesis Evangelion,8.35,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",TV,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",204.0,45,100638,1024927.0,1718019,90.98208240679905
Neon Genesis Evangelion: Death & Rebirth,7.46,"Drama, Sci-Fi",Movie,"Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",1855.0,889,687,140233.0,251617,71.57316965674335
