Gender,Birthday,Location,Days Watched,Completed,Total Entries,Episodes Watched,Country,Weighted_Y
Male,1985-03-04 00:00:00+00:00,California,142.3,233.0,399.0,8458.0,USA,2401.313668393063
Male,1988-01-25 00:00:00+00:00,"Bergen, Norway",73.1,94.0,138.0,4374.0,Norway,1188.3212974969153
Male,1990-02-09 00:00:00+00:00,"Calgary, AB",70.6,148.0,211.0,4117.0,CAN,1198.7275439691566
Male,1989-06-10 00:00:00+00:00,"Paris, France",47.0,153.0,316.0,2922.0,France,969.1182761723037
Male,1983-06-09 00:00:00+00:00,"London,England",72.6,125.0,128.0,4329.0,England,1189.73263650712
Male,1986-11-08 00:00:00+00:00,"Lule&aring;, Sweden",138.5,260.0,378.0,8358.0,Sweden,2379.6864140652992
Male,1986-07-31 00:00:00+00:00,"Ontario, Canada",152.8,188.0,227.0,9153.0,Canada,2447.177326739823
Male,1982-12-22 00:00:00+00:00,Locked up in Shuuka basement working on cards :p,247.2,1478.0,2229.0,14967.0,Locked up in Shuuka basement working on cards :p,5704.704393907457
Male,1984-04-08 00:00:00+00:00,"Tampere, Finland",78.0,167.0,261.0,4737.0,Finland,1385.7301844754772
Male,1987-09-12 00:00:00+00:00,"Finland, Pori",85.0,194.0,252.0,5053.0,FIN,1473.519633693216
Male,1985-08-10 00:00:00+00:00,"Yorba Linda, California",9.4,3.0,11.0,577.0,USA,147.23411901434096
Male,1983-09-16 00:00:00+00:00,Pandan Jaya,8.5,18.0,39.0,547.0,Jaya,163.93772499538323
Male,1990-12-10 00:00:00+00:00,New york,61.4,269.0,451.0,3736.0,New york,1307.9467672390895
Male,1984-02-18 00:00:00+00:00,"Johor, Malaysia",41.8,115.0,133.0,2463.0,Malaysia,735.7982124050405
Male,1988-09-28 00:00:00+00:00,Michigan,48.2,172.0,288.0,2980.0,USA,978.5325374865844
Male,1990-04-29 00:00:00+00:00,"Helsinki, Finland",167.3,470.0,478.0,10017.0,Finland,2957.242420738964
Male,1985-04-04 00:00:00+00:00,"Wilmington, North Carolina",13.9,35.0,71.0,801.0,Carolina,253.55071897843638
Male,1988-10-17 00:00:00+00:00,Belgium,21.2,30.0,62.0,1293.0,Belgium,364.13468230190244
Male,1985-02-03 00:00:00+00:00,"Interlaken, Bern, Switzerland",161.6,347.0,508.0,40113.0,Switzerland,9898.607167614016
Male,1982-07-10 00:00:00+00:00,"Princeton, NJ",77.4,309.0,369.0,4457.0,USA,1461.6633979971575
Male,1988-01-03 00:00:00+00:00,"Beachwood, Ohio",46.2,62.0,111.0,2731.0,USA,757.9958939729642
Male,1978-12-08 00:00:00+00:00,Miami Beach,70.9,167.0,281.0,4162.0,Beach,1259.2282435009095
Male,1992-06-15 00:00:00+00:00,Norway,180.7,567.0,662.0,11283.0,Norway,3417.0586332554367
Male,1986-05-28 00:00:00+00:00,"Austin, Texas",130.5,162.0,196.0,7833.0,USA,2095.7148921217213
Female,1990-05-28 00:00:00+00:00,U.S.,52.9,91.0,159.0,3142.0,U.S.,900.6148468788576
Male,1987-04-17 00:00:00+00:00,Sweden,36.1,121.0,178.0,2077.0,Sweden,671.3831016183722
Male,1981-07-09 00:00:00+00:00,"Carlisle, Pennsylvania",102.1,217.0,218.0,6012.0,USA,1700.2158348765438
Female,1983-08-11 00:00:00+00:00,"Harrisburg, PA",238.5,754.0,916.0,14108.0,USA,4354.51207895376
Male,1990-06-25 00:00:00+00:00,Latvia,61.1,150.0,198.0,3610.0,Latvia,1069.4592167879287
Female,1981-08-07 00:00:00+00:00,"Stockholm, Sweden",63.6,138.0,188.0,3669.0,Sweden,1072.1331615260704
Female,1990-10-28 00:00:00+00:00,Caifornia with the Pikas,492.6,1816.0,2027.0,29778.0,Pikas,9365.665289957957
Male,1979-08-03 00:00:00+00:00,"Southampton, United Kingdom",78.7,136.0,280.0,4680.0,Kingdom,1365.7272695631275
Female,1991-06-16 00:00:00+00:00,"Queens, New York",112.5,380.0,561.0,6566.0,GBR,2119.144329921167
Male,1990-09-06 00:00:00+00:00,"England, UK",32.9,48.0,163.0,1945.0,GBR,588.8137671922054
Male,1987-06-04 00:00:00+00:00,In the shadows of mankind.,87.2,209.0,990.0,5241.0,In the shadows of mankind.,1938.2738407660975
Male,1989-12-15 00:00:00+00:00,"Portland, Oregon",33.4,78.0,82.0,1924.0,USA,556.2256146046548
Male,1988-12-30 00:00:00+00:00,California,116.5,355.0,436.0,6960.0,USA,2129.032741813303
Male,1987-05-14 00:00:00+00:00,"La Mirada, California",78.6,128.0,177.0,4628.0,USA,1291.6107266586187
Male,1987-03-09 00:00:00+00:00,"Las Vegas, Nevada",108.2,294.0,381.0,6343.0,USA,1915.4269190128125
Male,1984-03-16 00:00:00+00:00,"Bakersfield,California",58.3,71.0,82.0,3164.0,USA,854.3869194672609
Male,1991-02-01 00:00:00+00:00,"London, UK",168.2,269.0,1086.0,10074.0,GBR,3194.8685647893285
Male,1987-03-11 00:00:00+00:00,"Atlanta, GA",298.3,1332.0,1429.0,17744.0,USA,5849.545736194143
Male,1988-01-25 00:00:00+00:00,"Bergen, Norway",54.8,131.0,217.0,3182.0,Norway,966.1620931323474
Female,1988-01-31 00:00:00+00:00,Hungary,216.5,704.0,979.0,13416.0,Hungary,4187.900961189554
Male,1985-12-17 00:00:00+00:00,"Toronto, Ontario - Canada",197.8,667.0,694.0,11716.0,Canada,3602.2500289084664
Male,1991-10-03 00:00:00+00:00,"Bellingham, Washington",39.3,76.0,120.0,2298.0,USA,666.4992180665606
Male,1987-01-31 00:00:00+00:00,Withdrawn into myself,218.9,818.0,843.0,13203.0,Withdrawn into myself,4129.104265950561
Female,1988-04-11 00:00:00+00:00,Lithuania,129.6,386.0,495.0,7663.0,Lithuania,2350.377497862374
Male,1986-10-21 00:00:00+00:00,France,179.5,622.0,783.0,11026.0,France,3455.5060479652625
Female,1986-05-08 00:00:00+00:00,"Uppsala, Sweden",37.6,49.0,67.0,2214.0,Sweden,601.0511586503698
Male,1981-05-26 00:00:00+00:00,"Toronto, Ontario",29.7,45.0,51.0,1752.0,Ontario,478.0328460106947
Male,1990-01-07 00:00:00+00:00,"Sugar Land, Texas",54.8,128.0,510.0,3258.0,USA,1145.3891023470649
Male,1989-06-27 00:00:00+00:00,France,77.6,190.0,288.0,4501.0,France,1358.8278637751441
Female,1963-06-10 00:00:00+00:00,"Columbus, Georgia",219.9,766.0,895.0,13339.0,USA,4160.527197418711
Male,1985-12-16 00:00:00+00:00,Mexico,121.9,546.0,1060.0,7463.0,Mexico,2705.9184966831517
Male,1984-09-16 00:00:00+00:00,Sweden,118.5,252.0,318.0,6984.0,Sweden,2011.0771237769686
Male,1986-01-29 00:00:00+00:00,"Austin, TX",90.8,274.0,354.0,5234.0,USA,1621.4089094237042
Male,1987-11-22 00:00:00+00:00,"Cleveland, Ohio",58.6,224.0,227.0,3556.0,USA,1113.9856825374927
Non-Binary,1987-12-06 00:00:00+00:00,"Louisville, KY",69.1,127.0,172.0,4269.0,USA,1199.4989983641465
Female,1988-09-18 00:00:00+00:00,Off somewhere...~_~,34.5,136.0,223.0,1975.0,Off somewhere...~_~,680.4289676732561
Female,1977-03-21 00:00:00+00:00,California,64.4,202.0,260.0,3786.0,USA,1176.4980528973406
Male,1990-02-22 00:00:00+00:00,New Jersey,8.0,12.0,19.0,462.0,Jersey,129.31979348572798
Male,1983-08-20 00:00:00+00:00,"Gainesville, Florida",58.7,199.0,303.0,3519.0,USA,1133.4932120478445
