English name,Score,Genres,Type,Aired,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score,Aired_Year,Start Month,Season
Cowboy Bebop,8.75,"Action, Award Winning, Sci-Fi",TV,"Apr 3, 1998 to Apr 24, 1999",Bandai Visual,Sunrise,41.0,43,78525,914193.0,1771505,90.35835668939735,1998,Apr,Spring
Cowboy Bebop: The Movie,8.38,"Action, Sci-Fi",Movie,"Sep 1, 2001","Sunrise, Bandai Visual",Bones,189.0,602,1448,206248.0,360978,76.20951278606294,2001,Sep,Fall
Trigun,8.22,"Action, Adventure, Sci-Fi",TV,"Apr 1, 1998 to Sep 30, 1998",Victor Entertainment,Madhouse,328.0,246,15035,356739.0,727252,81.09131910057945,1998,Apr,Spring
Witch Hunter Robin,7.25,"Action, Drama, Mystery, Supernatural",TV,"Jul 3, 2002 to Dec 25, 2002","Bandai Visual, Dentsu, Victor Entertainment, TV Tokyo Music",Sunrise,2764.0,1795,613,42829.0,111931,60.35652952025705,2002,Jul,Summer
Beet the Vandel Buster,6.94,"Adventure, Fantasy, Supernatural",TV,"Sep 30, 2004 to Sep 29, 2005","TV Tokyo, Dentsu",Toei Animation,4240.0,5126,14,6413.0,15001,42.41782659142323,2004,Sep,Fall
UNKNOWN,7.92,Sports,TV,"Apr 6, 2005 to Mar 19, 2008","TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,688.0,1252,1997,86524.0,177688,67.666528944249,2005,Apr,Spring
Honey and Clover,8.0,"Comedy, Drama, Romance",TV,"Apr 15, 2005 to Sep 27, 2005","Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha",J.C.Staff,589.0,862,4136,81747.0,260166,67.2348857848184,2005,Apr,Spring
UNKNOWN,7.55,"Comedy, Slice of Life, Sports",TV,"Sep 11, 2002 to Sep 10, 2003",UNKNOWN,Nippon Animation,1551.0,4212,237,12960.0,24172,49.69254722555419,2002,Sep,Fall
UNKNOWN,8.16,"Action, Drama",TV,"Apr 17, 2004 to Feb 18, 2006","OB Planning, Studio Jack",A.C.G.T.,393.0,1273,1237,97878.0,173710,69.08082193433933,2004,Apr,Spring
Monster,8.87,"Drama, Mystery, Suspense",TV,"Apr 7, 2004 to Sep 28, 2005","VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,26.0,142,47235,368569.0,1013100,82.09537138226781,2004,Apr,Spring
Naruto,7.99,"Action, Adventure, Fantasy",TV,"Oct 3, 2002 to Feb 8, 2007","TV Tokyo, Aniplex, Shueisha",Pierrot,599.0,8,76343,1883772.0,2717330,96.19574787152872,2002,Oct,Fall
One Piece,8.69,"Action, Adventure, Fantasy",TV,"Oct 20, 1999 to ?","Fuji TV, TAP, Shueisha",Toei Animation,55.0,20,198986,1226493.0,2168904,93.00858883863833,1999,Oct,Fall
The Prince of Tennis,7.86,Sports,TV,"Oct 10, 2001 to Mar 23, 2005","Production I.G, Nihon Ad Systems",Trans Arts,805.0,1246,3004,81992.0,178273,67.0994859847026,2001,Oct,Fall
UNKNOWN,6.39,"Action, Sports",TV,"Oct 6, 2004 to Dec 15, 2004",UNKNOWN,Toei Animation,6943.0,8288,6,1378.0,4581,27.45631930560248,2004,Oct,Fall
School Rumble,7.89,"Comedy, Romance",TV,"Oct 5, 2004 to Mar 29, 2005","TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,756.0,687,5139,146597.0,320203,72.50052512895904,2004,Oct,Fall
Desert Punk,7.38,"Action, Adventure, Comedy, Sci-Fi, Ecchi",TV,"Oct 6, 2004 to Mar 30, 2005","GDH, Pony Canyon, CBC Television",Gonzo,2167.0,1546,822,53709.0,134894,62.61101564146964,2004,Oct,Fall
Texhnolyze,7.76,"Action, Drama, Sci-Fi",TV,"Apr 17, 2003 to Sep 25, 2003","Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,990.0,935,4786,54857.0,239423,63.26997057097027,2003,Apr,Spring
Trinity Blood,7.29,"Action, Supernatural",TV,"Apr 29, 2005 to Oct 28, 2005",UNKNOWN,Gonzo,2591.0,1233,1298,79130.0,179583,66.07618506456642,2005,Apr,Spring
Yakitate!! Japan,7.91,"Comedy, Gourmet",TV,"Oct 12, 2004 to Mar 14, 2006","TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,704.0,1992,897,40492.0,95380,60.64294017221296,2004,Oct,Fall
UNKNOWN,7.48,"Action, Drama, Sci-Fi",TV,"Oct 8, 2004 to Apr 1, 2005","Marvelous, TBS",Studio Deen,1778.0,4430,180,7273.0,21391,44.27182972697637,2004,Oct,Fall
Neon Genesis Evangelion,8.35,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",TV,"Oct 4, 1995 to Mar 27, 1996","TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",204.0,45,100638,1024927.0,1718019,90.98208240679905,1995,Oct,Fall
Neon Genesis Evangelion: Death & Rebirth,7.46,"Drama, Sci-Fi",Movie,"Mar 15, 1997","Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",1855.0,889,687,140233.0,251617,71.57316965674335,1997,Mar,Spring
Neon Genesis Evangelion: The End of Evangelion,8.55,"Avant Garde, Drama, Sci-Fi",Movie,"Jul 19, 1997","TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",98.0,177,27272,586441.0,879361,86.04498320099565,1997,Jul,Summer
